source,source_type,survey,case,DRIPreV3,DRIPostV3,provider,model
human_only_mean,human,acp,Citizen Parliamentarian,0.04539636216979703,-0.015436897826842877,NA,NA
human_only_mean,human,auscj,HGE Deliberative Group,0.2890900917832533,0.3546228780978886,NA,NA
human_only_mean,human,bep,BEP,0.21226781294383668,0.2331484661938512,NA,NA
human_only_mean,human,biobanking_mayo_ubc,Mayo,0.2017776460402596,0.27957019623010115,NA,NA
human_only_mean,human,biobanking_mayo_ubc,UBC Bio,0.10704924946085903,0.3206685401707805,NA,NA
human_only_mean,human,biobanking_wa,WA Citizens,0.18046968646399097,0.41055834328769003,NA,NA
human_only_mean,human,biobanking_wa,WA Stakeholder,0.2690786982849869,0.208398191514497,NA,NA
human_only_mean,human,ccps,CCPS ACT Deliberative,0.5311577584447964,0.6362113144921671,NA,NA
human_only_mean,human,ds_aargau,Aargau,0.19329906631350346,0.08970017243033057,NA,NA
human_only_mean,human,ds_bellinzona,Bellinzona,0.45289737664206253,0.6420089454007241,NA,NA
human_only_mean,human,energy_futures,CSIRO NSW,0.3379417826830755,0.4325603492030363,NA,NA
human_only_mean,human,energy_futures,CSIRO WA,0.1990467642321061,0.4279675911904972,NA,NA
human_only_mean,human,fnqcj,FNQCJ,-0.045849852688990445,0.4979662237714362,NA,NA
human_only_mean,human,forestera,Forest Lay Citizen,0.3370855959332548,0.5342888399823129,NA,NA
human_only_mean,human,forestera,Forest Stakeholder,0.5138354358417467,0.45458252276447153,NA,NA
human_only_mean,human,fremantle,Fremantle,0.1318406467039821,0.2703262719535897,NA,NA
human_only_mean,human,swiss_health,CA,0.17313737187241718,0.1982775429630974,NA,NA
human_only_mean,human,uppsala_speaks,Activate,0.3642480975981299,0.5721022781484872,NA,NA
human_only_mean,human,uppsala_speaks,Standard,0.2720131889004609,0.43579321257940307,NA,NA
human_only_mean,human,valsamoggia,Valsamoggia,0.30768912791221714,0.3060081127341603,NA,NA
human_only_mean,human,zh_uster,USTER,0.34455173595629685,0.4953697853451704,NA,NA
human_only_mean,human,zh_winterthur,Winterthur,0.21919794591369968,0.5202587050867213,NA,NA
human_only_mean,human,zukunft,Zukunft,0.42151882027369325,0.502087804552416,NA,NA
random,random,acp,Citizen Parliamentarian,-0.14782067271369326,-0.09333891263285987,NA,NA
random,random,auscj,HGE Deliberative Group,-0.004141082867404222,-0.036134427383988754,NA,NA
random,random,bep,BEP,0.06673719644175624,0.0920018577890016,NA,NA
random,random,biobanking_mayo_ubc,Mayo,0.14046498751781922,-0.07646673470161147,NA,NA
random,random,biobanking_mayo_ubc,UBC Bio,-0.07356296535765205,-0.002291750575117657,NA,NA
random,random,biobanking_wa,WA Citizens,-0.22854666793721745,-0.009547524662223417,NA,NA
random,random,biobanking_wa,WA Stakeholder,0.05414505437260053,-0.18405138491033268,NA,NA
random,random,ccps,CCPS ACT Deliberative,0.08602316913350672,0.013573075637163479,NA,NA
random,random,ds_aargau,Aargau,0.2343876060953105,0.11961507521648729,NA,NA
random,random,ds_bellinzona,Bellinzona,-0.11843768005681765,-0.2944398098141183,NA,NA
random,random,energy_futures,CSIRO NSW,0.3893305379179872,0.024228360288571782,NA,NA
random,random,energy_futures,CSIRO WA,0.5467510583682658,0.5435352845366201,NA,NA
random,random,fnqcj,FNQCJ,-0.026228916678583403,-0.3801854265302641,NA,NA
random,random,forestera,Forest Lay Citizen,0.16479064147404143,-0.06200330476655069,NA,NA
random,random,forestera,Forest Stakeholder,0.43238011113621266,0.060643371441344573,NA,NA
random,random,fremantle,Fremantle,-0.06565062781270803,-0.00809609544350931,NA,NA
random,random,swiss_health,CA,0.08928817177178083,-0.047063095315530434,NA,NA
random,random,uppsala_speaks,Activate,0.0442253451205985,0.0992452292681767,NA,NA
random,random,uppsala_speaks,Standard,-0.16329112123917888,0.015251246209800007,NA,NA
random,random,valsamoggia,Valsamoggia,0.06063559423691389,-0.084030927263263,NA,NA
random,random,zh_uster,USTER,-0.07710925461479579,-0.3497697292781401,NA,NA
random,random,zh_winterthur,Winterthur,-0.20097122429019787,0.19605522325632863,NA,NA
random,random,zukunft,Zukunft,0.26698638394785745,0.1513028398912568,NA,NA
