survey,case,type,DRI_PRE,DRI_POST,DRI_one_tailed_p,DRI_twoside_p,DRI_DELTA
acp,Citizen Parliamentarian,human_only,0.11827643219816553,0.018872806977911827,0.9994728304958337,0.0010547538858872538,-0.0994036252202537
acp,Citizen Parliamentarian,human+google/gemini-1.5-flash,0.09844549205292163,0.017247203771518338,0.997326447567488,0.005348819651839311,-0.0811982882814033
acp,Citizen Parliamentarian,human+google/gemini-1.5-flash-8b,0.10599232501507405,0.021641188930442423,0.9978276200562255,0.004346181030585678,-0.08435113608463163
acp,Citizen Parliamentarian,human+google/gemini-1.5-pro,0.10770466903550746,0.018987485384641456,0.9986109826750769,0.0027789806306740615,-0.088717183650866
acp,Citizen Parliamentarian,human+google/gemini-2.0-flash,0.10997164760752298,0.02692876314148185,0.996705551697602,0.0065909664597520274,-0.08304288446604113
acp,Citizen Parliamentarian,human+meta/llama3.2,0.11639538350425549,0.020937777864904694,0.9993332427985837,0.0013339966035547748,-0.0954576056393508
acp,Citizen Parliamentarian,human+mistralai/ministral-8b-latest,0.11910779013158579,0.010427254664979957,0.9998947688673139,2.1054862451018138e-4,-0.10868053546660583
acp,Citizen Parliamentarian,human+mistralai/mistral-large-latest,0.11384807169021838,0.025133319096378726,0.9983508505833425,0.003299405159088445,-0.08871475259383965
acp,Citizen Parliamentarian,human+mistralai/mistral-small-latest,0.12382565583174077,0.023909039888773576,0.9996419247962781,7.164215693110426e-4,-0.09991661594296719
acp,Citizen Parliamentarian,human+mistralai/open-mistral-nemo,0.1092779784689566,0.0227346148467944,0.9982723198956818,0.0034565144017007702,-0.0865433636221622
acp,Citizen Parliamentarian,human+mistralai/open-mixtral-8x22b,0.11058599424242122,0.026922301269201032,0.9968256404982112,0.006350720859176246,-0.08366369297322018
acp,Citizen Parliamentarian,human+openai/gpt-3.5-turbo,0.11818250316865653,0.013186533666600386,0.9998622414143705,2.756283570860319e-4,-0.10499596950205614
acp,Citizen Parliamentarian,human+openai/gpt-4o,0.12078824082982464,0.01113071169435198,0.9999036759212013,1.9272763154486183e-4,-0.10965752913547266
auscj,HGE Control Group,human_only,0.41616722307478016,0.4497632383601271,0.12351993351301095,0.2470398670260219,0.03359601528534695
auscj,HGE Control Group,human+google/gemini-1.5-flash,0.29431657362978436,0.35134605553419274,0.04325851820627486,0.08651703641254972,0.057029481904408375
auscj,HGE Control Group,human+google/gemini-1.5-flash-8b,0.37595335164130805,0.412906284445377,0.10607602112056216,0.21215204224112433,0.03695293280406897
auscj,HGE Control Group,human+google/gemini-1.5-pro,0.2821582716510094,0.34697855068583117,0.02795809883467794,0.05591619766935588,0.06482027903482179
auscj,HGE Control Group,human+google/gemini-2.0-flash,0.34168573150508497,0.35860488513421274,0.19516803142490494,0.3903360628498099,0.01691915362912777
auscj,HGE Control Group,human+mistralai/ministral-8b-latest,0.4179518379009086,0.43070490006401196,0.25039699423987705,0.5007939884797541,0.012753062163103346
auscj,HGE Control Group,human+mistralai/mistral-large-latest,0.2796093952702552,0.33565466186017634,0.04805633815592888,0.09611267631185776,0.05604526658992115
auscj,HGE Control Group,human+mistralai/mistral-small-latest,0.2846735017697768,0.33628295528912333,0.060962792497634755,0.12192558499526951,0.05160945351934654
auscj,HGE Control Group,human+mistralai/open-mistral-nemo,0.39428803270636537,0.4332748686046479,0.0842894562433133,0.1685789124866266,0.03898683589828256
auscj,HGE Control Group,human+mistralai/open-mixtral-8x22b,0.2861496018280443,0.34721998874678817,0.050199866148876886,0.10039973229775377,0.06107038691874389
auscj,HGE Control Group,human+openai/gpt-3.5-turbo,0.3590052979825926,0.40410685251565415,0.0880167201733418,0.1760334403466836,0.04510155453306153
auscj,HGE Control Group,human+openai/gpt-4o,0.3307618671224939,0.3676448025511059,0.10704456112900426,0.21408912225800852,0.036882935428611985
auscj,HGE Deliberative Group,human_only,0.39136615705566147,0.4363757693494963,0.15152251338649694,0.3030450267729939,0.04500961229383482
auscj,HGE Deliberative Group,human+google/gemini-1.5-flash,0.30762327074427875,0.34987250897026967,0.13119887330123092,0.26239774660246185,0.042249238225990915
auscj,HGE Deliberative Group,human+google/gemini-1.5-flash-8b,0.3667053935460707,0.40803098917941916,0.10878705446046495,0.2175741089209299,0.04132559563334848
