api,num_models,credits_paid,credits_used,credits_left,total_cost,estimate
OpenAI API,9,225.51999999999998,220.4505203,5.069479699999988,243.75,237.37199999999996
Anthropic API,6,75,72.2471759,2.752824099999998,75.31,84.16799999999999
xAI API,4,29.95,29.968119,-0.018119000000002217,29.95,31.97
Cohere API,5,20.34,23.192676125000002,-2.852676125000002,20.34,18.825
Mistral AI API,8,20,17.69410302,2.30589698,20,14.783999999999999
Alibaba Cloud,8,17.49,16.5664379,0.923562099999998,17.49,8.604
Together AI,8,13,16.754098969999998,-3.7540989699999976,14.52,18.5476
DeepSeek API,2,10,6.81050809,3.18949191,10.6,6.7656
Google Could,5,NA,33.765435724999996,NA,NA,46.143
ollama,9,NA,0,NA,NA,0
NA,1,NA,0,NA,NA,0
