survey,num_execs,num_iterations,num_success,success_rate
acp,142,1745,1542,0.8836676217765043
auscj,157,2106,1448,0.6875593542260209
bep,166,1822,1517,0.8326015367727772
biobanking_mayo_ubc,143,1755,1598,0.9105413105413105
biobanking_wa,147,1843,1484,0.8052088985349973
ccps,147,1766,1556,0.8810872027180068
ds_aargau,147,1760,1536,0.8727272727272727
ds_bellinzona,146,1772,1535,0.8662528216704289
energy_futures,159,1887,1492,0.7906730259671436
fnqcj,144,1759,1573,0.8942581011938602
forestera,146,1764,1520,0.8616780045351474
fremantle,156,1904,1517,0.7967436974789915
gbr,159,1861,1475,0.7925846319183235
swiss_health,147,1814,1532,0.844542447629548
uppsala_speaks,145,1776,1529,0.8609234234234234
valsamoggia,159,1925,1516,0.7875324675324675
zh_thalwil,145,1781,1526,0.8568220101066817
zh_uster,145,1755,1535,0.8746438746438746
zh_winterthur,146,1771,1546,0.872953133822699
zukunft,160,1848,1499,0.8111471861471862
