case,dri,source,stage,permutation
Aargau,0.19329906631350346,observed,1,NA
Aargau,0.08970017243033057,observed,2,NA
Aargau,0.0753967296783784,permutation,0,1
Aargau,0.3096506720959862,permutation,0,2
Aargau,0.1093912182242538,permutation,0,3
Aargau,0.2339150565401309,permutation,0,4
Aargau,0.056962925992336544,permutation,0,5
Aargau,0.2554726907741387,permutation,0,6
Aargau,0.23821025665491735,permutation,0,7
Aargau,0.17846876466668404,permutation,0,8
Aargau,0.3137493323179583,permutation,0,9
Aargau,-0.0016611834691385718,permutation,0,10
Aargau,0.1768525038227473,permutation,0,11
Aargau,0.1399769973081122,permutation,0,12
Aargau,0.4704972466957018,permutation,0,13
Aargau,-0.0649284935028499,permutation,0,14
Aargau,0.43168302570186157,permutation,0,15
Aargau,-0.031019391435887167,permutation,0,16
Aargau,-0.008138418346062992,permutation,0,17
Aargau,0.38291855928783214,permutation,0,18
Aargau,0.20423113344910737,permutation,0,19
Aargau,0.12960978129027279,permutation,0,20
Aargau,0.16987601132422125,permutation,0,21
Aargau,0.1336810296769737,permutation,0,22
Aargau,0.09160562778982406,permutation,0,23
Aargau,0.2776060551049433,permutation,0,24
Aargau,0.08476584024558265,permutation,0,25
Aargau,0.21622380624405801,permutation,0,26
Aargau,0.30201741623218203,permutation,0,27
Aargau,0.06388710636517803,permutation,0,28
Aargau,0.2675630928587014,permutation,0,29
Aargau,0.07086899851075357,permutation,0,30
Aargau,-0.01792797583527017,permutation,0,31
Aargau,0.29438495517480723,permutation,0,32
Aargau,0.12684053998536116,permutation,0,33
Aargau,0.22518169545458555,permutation,0,34
Aargau,0.02962688085794718,permutation,0,35
Aargau,0.3665029890031979,permutation,0,36
Aargau,0.11103428669007043,permutation,0,37
Aargau,0.2328724751863851,permutation,0,38
Aargau,-0.04381292956683891,permutation,0,39
Aargau,0.38650356044118395,permutation,0,40
Aargau,0.09369373742212805,permutation,0,41
Aargau,0.2134962331523813,permutation,0,42
Aargau,0.41252666837395635,permutation,0,43
Aargau,-0.09308937097507175,permutation,0,44
Aargau,0.14576975959538752,permutation,0,45
Aargau,0.1289126837235557,permutation,0,46
Aargau,0.2141671599373347,permutation,0,47
Aargau,0.14524113094171653,permutation,0,48
Aargau,0.3861627640570804,permutation,0,49
Aargau,-0.06909294278114497,permutation,0,50
Aargau,0.09931270798934233,permutation,0,51
Aargau,0.21706050840469437,permutation,0,52
Aargau,0.06397000083851445,permutation,0,53
Aargau,0.2519114388159256,permutation,0,54
Aargau,0.32769610655530523,permutation,0,55
Aargau,-0.03909159369311266,permutation,0,56
Aargau,0.12498106167625256,permutation,0,57
Aargau,0.17839804684426563,permutation,0,58
Aargau,0.06590025126983035,permutation,0,59
Aargau,0.2896489473643311,permutation,0,60
Aargau,0.2668147571942201,permutation,0,61
Aargau,0.028661285862530805,permutation,0,62
Aargau,0.11654885459247577,permutation,0,63
Aargau,0.29505478469351143,permutation,0,64
Aargau,0.14903846789378483,permutation,0,65
Aargau,0.1444960578426382,permutation,0,66
Aargau,0.16028975602012596,permutation,0,67
Aargau,0.10972903309541948,permutation,0,68
Aargau,0.2247646248725168,permutation,0,69
Aargau,0.12175071931651171,permutation,0,70
Aargau,0.04581047380072212,permutation,0,71
Aargau,0.19832694918653937,permutation,0,72
Aargau,0.22915205983192544,permutation,0,73
Aargau,-0.03861559177559648,permutation,0,74
Aargau,0.2035428580639187,permutation,0,75
Aargau,0.10440388882092932,permutation,0,76
Aargau,0.13163967516366526,permutation,0,77
Aargau,0.18886919829776994,permutation,0,78
Aargau,0.4610397961592063,permutation,0,79
Aargau,-0.08607495042563873,permutation,0,80
Aargau,0.2192625095503331,permutation,0,81
Aargau,0.16475974560100237,permutation,0,82
Aargau,0.42293999843443286,permutation,0,83
Aargau,0.02307434607749581,permutation,0,84
Aargau,0.374232968448152,permutation,0,85
Aargau,-0.016727883213276895,permutation,0,86
